,Drug ID,PDB ID
1448,DB01000,1HD8
1449,DB01000,3IT9
1450,DB01000,2C5W
1459,DB01041,4M91
1460,DB01041,3KQ0
1461,DB01041,3APU
1517,DB00578,3FWL
1518,DB00578,2EX2
1519,DB00578,1HD8
1520,DB00578,3IT9
1521,DB00671,3FWL
1522,DB00671,2EX2
1523,DB00671,1HD8
1524,DB00671,3IT9
1525,DB01602,3FWL
1526,DB01602,2EX2
1527,DB01602,1HD8
1528,DB01602,3IT9
1529,DB09319,3FWL
1530,DB09319,2EX2
1531,DB09319,1HD8
1532,DB09319,3IT9
1533,DB01043,2HQW
1534,DB01043,3NFL
1535,DB11273,2LSQ
1536,DB11273,1HLL
1537,DB11273,4IB4
1538,DB11273,1GQ4
1539,DB13345,2LSQ
1540,DB13345,1HLL
1541,DB13345,4IB4
1542,DB13345,3PBL
1543,DB13345,1GQ4
1548,DB01118,1BYW
1549,DB01118,2LSQ
1550,DB01118,1GQ4
1555,DB00907,2KBI
1556,DB00907,2KAV
1557,DB00907,4L1D
1558,DB00907,4MZ2
1559,DB13269,2KBI
1560,DB13269,2KAV
1561,DB13269,4L1D
1562,DB13269,4MZ2
1563,DB09235,3BXK
1564,DB09235,1T0J
1565,DB09235,2LCM
1566,DB09235,2VAY
1567,DB09235,1VYV
1568,DB09235,3LV3
1569,DB09235,3BXL
1570,DB11148,3BXK
1571,DB11148,1T0J
1572,DB11148,2LCM
1573,DB11148,2VAY
1574,DB11148,1VYV
1575,DB11148,3LV3
1576,DB11148,3BXL
1577,DB00131,4CFE
1578,DB00131,4RED
1579,DB00131,2H6D
1580,DB00131,2F15
1581,DB00131,2UV4
1583,DB09283,1RKP
1584,DB09283,1F0J
1585,DB09283,2QYK
1586,DB09283,1E9K
1587,DB09283,1Z1L
1588,DB09283,1SO2
1589,DB09283,3JWQ
1590,DB09283,1ZKL
1591,DB09283,2HD1
1592,DB09085,2KBI
1593,DB09085,2KAV
1594,DB09085,4JKQ
1601,DB14766,3V2W
1602,DB14766,2DCO
1603,DB05015,3MAX
1604,DB05015,4A69
1605,DB05015,3C5K
1606,DB05015,2H8N
1607,DB05015,5UWI
1608,DB05015,3C0Y
1609,DB05015,1T64
1610,DB06603,3MAX
1611,DB06603,4A69
1612,DB06603,3C5K
1613,DB06603,2H8N
1614,DB06603,5UWI
1615,DB06603,3C0Y
1616,DB06603,1T64
1617,DB11841,3MAX
1618,DB11841,4A69
1619,DB11841,3C5K
1620,DB11841,2H8N
1621,DB11841,5UWI
1622,DB11841,3C0Y
1623,DB11841,1T64
1624,DB09236,3BXK
1625,DB09236,1T0J
1626,DB09236,2VAY
1627,DB09236,1VYV
1628,DB09236,3LV3
1629,DB09238,3BXK
1630,DB09238,1T0J
1631,DB09238,2VAY
1632,DB09238,1VYV
1633,DB09238,3LV3
1641,DB14059,1MDI
1642,DB14059,1A3Q
1643,DB14059,1NFI
1644,DB00555,2KBI
1645,DB00555,2KAV
1646,DB00555,3BXL
1651,DB00564,2KBI
1652,DB00564,2KAV
1653,DB01161,2KBI
1654,DB01161,2KAV
1655,DB09088,2KBI
1656,DB09088,2KAV
1657,DB09342,2KBI
1658,DB09342,2KAV
1659,DB09345,2KBI
1660,DB09345,2KAV
1663,DB00202,2MAW
1664,DB00202,4ZK4
1665,DB00202,4D01
1666,DB01656,1F0J
1667,DB01656,2QYK
1668,DB01656,1E9K
1669,DB01954,1F0J
1670,DB01954,2QYK
1671,DB01954,1E9K
1672,DB00562,1AZM
1673,DB00562,12CA
1674,DB00562,1ZNC
1675,DB00562,2HKF
1676,DB00562,1Z93
1677,DB00562,3MDZ
1678,DB00562,4LU3
1679,DB00562,3CZV
1680,DB00562,3FE4
1684,DB15797,4WUR
1685,DB15797,4R3D
1690,DB09401,2WZ1
1691,DB09401,3UVJ
